month,county,cumulative_number_of_positives,cummulative_death,cumulative_number_of_tests_performed,month_fatal,new_positives,total_number_of_tests_performed,population
April,Albany,1204,31,10688,0.02574750830564784,964,6984,9165180
August,Albany,2786,122,108533,0.04379038047379756,271,32030,9470686
July,Albany,2515,115,76503,0.04572564612326044,403,27414,9470686
June,Albany,2112,108,49089,0.05113636363636364,230,23788,9165180
March,Albany,240,1,3704,0.004166666666666667,240,3704,9470686
May,Albany,1882,99,25301,0.052603613177470775,678,14613,9470686
November,Albany,4529,135,220390,0.029807904614705234,779,33750,4277084
October,Albany,3750,130,186640,0.034666666666666665,617,47692,9470686
September,Albany,3133,123,138948,0.03925949569103096,347,30415,9165180
April,Allegany,35,2,563,0.05714285714285714,26,428,1382730
August,Allegany,89,2,13767,0.02247191011235955,15,4503,1428821
July,Allegany,74,2,9264,0.02702702702702703,13,3246,1428821
June,Allegany,61,2,6018,0.03278688524590164,13,4083,1382730
March,Allegany,9,1,135,0.1111111111111111,9,135,1428821
May,Allegany,48,2,1935,0.041666666666666664,13,1372,1428821
November,Allegany,644,35,32229,0.05434782608695652,296,5131,645274
October,Allegany,348,14,27098,0.040229885057471264,229,8795,1428821
September,Allegany,119,4,18303,0.03361344537815126,30,4536,1382730
April,Bronx,37785,3460,93055,0.09157072912531428,28924,74898,42546210
August,Bronx,51663,4909,641690,0.09501964655556201,2037,171837,43964417
July,Bronx,49626,4853,469853,0.09779148027243784,1975,139839,43964417
June,Bronx,47651,4759,330014,0.09987198589746281,2292,137268,42546210
March,Bronx,8861,262,18157,0.029567768874844826,8861,18157,43964417
May,Bronx,45359,4468,192746,0.09850305341828523,7574,99691,43964417
November,Bronx,58712,5019,1137459,0.08548507971113231,2800,116362,19854898
October,Bronx,55912,4995,1021097,0.08933681499499213,2743,208777,43964417
September,Bronx,53169,4952,812320,0.09313697831443134,1506,170630,42546210
April,Broome,299,15,2471,0.05016722408026756,257,2103,5714640
August,Broome,1311,82,88836,0.06254767353165523,263,28916,5905128
July,Broome,1048,72,59920,0.06870229007633588,326,22333,5905128
June,Broome,722,58,37587,0.08033240997229917,148,21307,5714640
March,Broome,42,3,368,0.07142857142857142,42,368,5905128
May,Broome,574,47,16280,0.08188153310104529,275,13809,5905128
November,Broome,4394,122,196483,0.027765134274010013,656,23497,2666832
October,Broome,3738,104,172986,0.027822364901016586,2009,55004,5905128
September,Broome,1729,85,117982,0.049161364950838636,418,29146,5714640
April,Cattaraugus,49,2,987,0.04081632653061224,42,824,2283510
August,Cattaraugus,206,6,27790,0.02912621359223301,48,8056,2359627
July,Cattaraugus,158,6,19734,0.0379746835443038,35,7034,2359627
June,Cattaraugus,123,6,12700,0.04878048780487805,34,7820,2283510
March,Cattaraugus,7,0,163,0,7,163,2359627
May,Cattaraugus,89,3,4880,0.033707865168539325,40,3893,2359627
November,Cattaraugus,678,21,53458,0.030973451327433628,129,5834,1065638
October,Cattaraugus,549,19,47624,0.03460837887067395,270,11896,2359627
September,Cattaraugus,279,8,35728,0.02867383512544803,73,7938,2283510
April,Cayuga,51,2,985,0.0392156862745098,48,739,2297280
August,Cayuga,180,2,28121,0.011111111111111112,36,8098,2373856
July,Cayuga,144,2,20023,0.013888888888888888,25,7746,2373856
June,Cayuga,119,2,12277,0.01680672268907563,27,7433,2297280
March,Cayuga,3,0,246,0,3,246,2373856
May,Cayuga,92,2,4844,0.021739130434782608,41,3859,2373856
November,Cayuga,632,5,61064,0.007911392405063292,179,7492,1072064
October,Cayuga,453,3,53572,0.006622516556291391,232,15425,2373856
September,Cayuga,221,2,38147,0.00904977375565611,41,10026,2297280
April,Chautauqua,35,1,1207,0.02857142857142857,29,1091,3807090
August,Chautauqua,405,4,44965,0.009876543209876543,174,13816,3933993
July,Chautauqua,231,4,31149,0.017316017316017316,104,12322,3933993
June,Chautauqua,127,3,18827,0.023622047244094488,42,13226,3807090
March,Chautauqua,6,1,116,0.16666666666666666,6,116,3933993
May,Chautauqua,85,2,5601,0.023529411764705882,50,4394,3933993
November,Chautauqua,1239,5,94729,0.004035512510088781,222,15343,1776642
October,Chautauqua,1017,4,79386,0.003933136676499509,415,20067,3933993
September,Chautauqua,602,4,59319,0.006644518272425249,197,14354,3807090
April,Chemung,123,2,1617,0.016260162601626018,101,1282,2503680
August,Chemung,205,2,33444,0.00975609756097561,42,9364,2587136
July,Chemung,163,2,24080,0.012269938650306749,19,9276,2587136
June,Chemung,144,2,14804,0.013888888888888888,7,8211,2503680
March,Chemung,22,0,335,0,22,335,2587136
May,Chemung,137,2,6593,0.014598540145985401,14,4976,2587136
November,Chemung,2362,26,80121,0.01100762066045724,510,11280,1168384
October,Chemung,1852,17,68841,0.0091792656587473,1292,22841,2587136
September,Chemung,560,5,46000,0.008928571428571428,355,12556,2503680
April,Chenango,99,0,810,0,73,715,1416210
August,Chenango,229,6,23189,0.026200873362445413,20,6520,1463417
July,Chenango,209,6,16669,0.028708133971291867,63,5643,1463417
June,Chenango,146,6,11026,0.0410958904109589,13,6559,1416210
March,Chenango,26,0,95,0,26,95,1463417
May,Chenango,133,5,4467,0.03759398496240601,34,3657,1463417
November,Chenango,501,7,41145,0.013972055888223553,76,3714,660898
October,Chenango,425,7,37431,0.01647058823529412,172,8223,1463417
September,Chenango,253,6,29208,0.023715415019762844,24,6019,1416210
April,Clinton,61,4,796,0.06557377049180328,36,585,2414550
August,Clinton,151,5,26545,0.033112582781456956,24,7374,2495035
July,Clinton,127,4,19171,0.031496062992125984,26,7528,2495035
June,Clinton,101,4,11643,0.039603960396039604,5,7476,2414550
March,Clinton,25,0,211,0,25,211,2495035
May,Clinton,96,4,4167,0.041666666666666664,35,3371,2495035
November,Clinton,377,5,56012,0.013262599469496022,107,7471,1126790
October,Clinton,270,5,48541,0.018518518518518517,108,13069,2495035
September,Clinton,162,5,35472,0.030864197530864196,11,8927,2414550
April,Columbia,202,16,1378,0.07920792079207921,171,1003,1783830
August,Columbia,569,47,25385,0.08260105448154657,50,7441,1843291
July,Columbia,519,47,17944,0.0905587668593449,53,6799,1843291
June,Columbia,466,47,11145,0.10085836909871244,77,6716,1783830
March,Columbia,31,1,375,0.03225806451612903,31,375,1843291
May,Columbia,389,39,4429,0.10025706940874037,187,3051,1843291
November,Columbia,881,54,47799,0.06129398410896708,145,5630,832454
October,Columbia,736,51,42169,0.06929347826086957,141,10079,1843291
September,Columbia,595,47,32090,0.07899159663865546,26,6705,1783830
April,Cortland,28,1,1143,0.03571428571428571,20,793,1427430
August,Cortland,101,1,20230,0.009900990099009901,10,5510,1475011
July,Cortland,91,1,14720,0.01098901098901099,44,5727,1475011
June,Cortland,47,1,8993,0.02127659574468085,6,4942,1427430
March,Cortland,8,0,350,0,8,350,1475011
May,Cortland,41,1,4051,0.024390243902439025,13,2908,1475011
November,Cortland,750,1,54199,0.0013333333333333333,161,6455,666134
October,Cortland,589,1,47744,0.001697792869269949,394,19707,1475011
September,Cortland,195,1,28037,0.005128205128205128,94,7807,1427430
April,Delaware,61,2,753,0.03278688524590164,41,626,1324050
August,Delaware,115,4,16125,0.034782608695652174,12,4605,1368185
July,Delaware,103,4,11520,0.038834951456310676,12,3765,1368185
June,Delaware,91,4,7755,0.04395604395604396,10,4660,1324050
March,Delaware,20,0,127,0,20,127,1368185
May,Delaware,81,2,3095,0.024691358024691357,20,2342,1368185
November,Delaware,277,6,33329,0.021660649819494584,85,4355,617890
October,Delaware,192,6,28974,0.03125,55,7563,1368185
September,Delaware,137,5,21411,0.0364963503649635,22,5286,1324050
April,Dutchess,3002,69,15085,0.022984676882078614,2455,12523,8826540
August,Dutchess,4868,153,135699,0.03142974527526705,364,42510,9120758
July,Dutchess,4504,153,93189,0.03396980461811723,291,32537,9120758
June,Dutchess,4213,151,60652,0.035841443152148114,289,27763,8826540
March,Dutchess,547,3,2562,0.005484460694698354,547,2562,9120758
May,Dutchess,3924,139,32889,0.035423037716615695,922,17804,9120758
November,Dutchess,6185,173,252108,0.027970897332255457,620,27515,4119052
October,Dutchess,5565,165,224593,0.029649595687331536,417,52189,9120758
September,Dutchess,5148,156,172404,0.030303030303030304,280,36705,8826540
April,Erie,3481,214,17009,0.061476587187589776,3017,14802,27561060
August,Erie,9947,606,327434,0.06092289132401729,1399,100096,28479762
July,Erie,8548,594,227338,0.06948993916705662,1211,84624,28479762
June,Erie,7337,571,142714,0.07782472400163555,1214,78201,27561060
March,Erie,464,10,2207,0.021551724137931036,464,2207,28479762
May,Erie,6123,497,64513,0.0811693614241385,2642,47504,28479762
November,Erie,17746,689,648677,0.038825650850895975,4215,84830,12861828
October,Erie,13531,654,563847,0.04833345650727958,1957,134470,28479762
September,Erie,11574,625,429377,0.054000345602211855,1627,101943,27561060
April,Essex,28,0,390,0,22,303,1106550
August,Essex,131,6,13544,0.04580152671755725,76,4097,1143435
July,Essex,55,0,9447,0,13,3159,1143435
June,Essex,42,0,6288,0,5,3270,1106550
March,Essex,6,0,87,0,6,87,1143435
May,Essex,37,0,3018,0,9,2628,1143435
November,Essex,230,14,26175,0.06086956521739131,27,2827,516390
October,Essex,203,14,23348,0.06896551724137931,34,5594,1143435
September,Essex,169,14,17754,0.08284023668639054,38,4210,1106550
April,Franklin,15,0,390,0,6,275,1500660
August,Franklin,58,1,17550,0.017241379310344827,8,5257,1550682
July,Franklin,50,1,12293,0.02,19,4545,1550682
June,Franklin,31,0,7748,0,8,4291,1500660
March,Franklin,9,0,115,0,9,115,1550682
May,Franklin,23,0,3457,0,8,3067,1550682
November,Franklin,188,3,34134,0.015957446808510637,101,4035,700308
October,Franklin,87,1,30099,0.011494252873563218,21,7689,1550682
September,Franklin,66,1,22410,0.015151515151515152,8,4860,1500660
April,Fulton,75,3,828,0.04,73,699,1601490
August,Fulton,311,28,18819,0.09003215434083602,29,5392,1654873
July,Fulton,282,28,13427,0.09929078014184398,25,4637,1654873
June,Fulton,257,26,8790,0.10116731517509728,47,5252,1601490
March,Fulton,2,0,129,0,2,129,1654873
May,Fulton,210,19,3538,0.09047619047619047,135,2710,1654873
November,Fulton,393,28,33884,0.07124681933842239,26,3391,747362
October,Fulton,367,28,30493,0.07629427792915532,28,7172,1654873
September,Fulton,339,28,23321,0.08259587020648967,28,4502,1601490
April,Genesee,154,3,1035,0.01948051948051948,141,853,1718400
August,Genesee,297,6,23010,0.020202020202020204,25,7350,1775680
July,Genesee,272,6,15660,0.022058823529411766,34,6084,1775680
June,Genesee,238,5,9576,0.02100840336134454,36,5631,1718400
March,Genesee,13,1,182,0.07692307692307693,13,182,1775680
May,Genesee,202,5,3945,0.024752475247524754,48,2910,1775680
November,Genesee,603,6,44968,0.009950248756218905,192,5101,801920
October,Genesee,411,6,39867,0.014598540145985401,76,9737,1775680
September,Genesee,335,6,30130,0.01791044776119403,38,7120,1718400
April,Greene,139,2,1171,0.014388489208633094,121,941,1415640
August,Greene,309,13,14890,0.042071197411003236,20,4388,1462828
July,Greene,289,13,10502,0.04498269896193772,29,4035,1462828
June,Greene,260,13,6467,0.05,21,3492,1415640
March,Greene,18,0,230,0,18,230,1462828
May,Greene,239,13,2975,0.05439330543933055,100,1804,1462828
November,Greene,585,16,30024,0.02735042735042735,69,3502,660632
October,Greene,516,15,26522,0.029069767441860465,188,7457,1462828
September,Greene,328,14,19065,0.042682926829268296,19,4175,1415640
April,Hamilton,3,0,40,0,1,26,132480
August,Hamilton,14,1,1762,0.07142857142857142,7,472,136896
July,Hamilton,7,1,1290,0.14285714285714285,1,464,136896
June,Hamilton,6,1,826,0.16666666666666666,1,377,132480
March,Hamilton,2,0,14,0,2,14,136896
May,Hamilton,5,1,449,0.2,2,409,136896
November,Hamilton,26,1,3094,0.038461538461538464,7,354,61824
October,Hamilton,19,1,2740,0.05263157894736842,4,558,136896
September,Hamilton,15,1,2182,0.06666666666666667,1,420,132480
April,Herkimer,60,3,820,0.05,48,737,1839570
August,Herkimer,298,10,28936,0.03355704697986577,58,8924,1900889
July,Herkimer,240,5,20012,0.020833333333333332,78,7000,1900889
June,Herkimer,162,3,13012,0.018518518518518517,53,8625,1839570
March,Herkimer,12,2,83,0.16666666666666666,12,83,1900889
May,Herkimer,109,3,4387,0.027522935779816515,49,3567,1900889
November,Herkimer,491,10,53551,0.020366598778004074,92,5485,858466
October,Herkimer,399,10,48066,0.02506265664160401,59,10855,1900889
September,Herkimer,340,10,37211,0.029411764705882353,42,8275,1839570
April,Jefferson,61,0,1555,0,49,1190,3295020
August,Jefferson,150,1,28698,0.006666666666666667,20,7267,3404854
July,Jefferson,130,0,21431,0,42,7738,3404854
June,Jefferson,88,0,13693,0,14,7335,3295020
March,Jefferson,12,0,365,0,12,365,3404854
May,Jefferson,74,0,6358,0,13,4803,3404854
November,Jefferson,324,1,50941,0.0030864197530864196,102,4807,1537676
October,Jefferson,222,1,46134,0.0045045045045045045,50,9844,3404854
September,Jefferson,172,1,36290,0.005813953488372093,22,7592,3295020
April,Kings,45519,5228,115417,0.11485313824996156,32404,89598,76797090
August,Kings,65118,7290,1052102,0.11195061273380633,2624,281365,79356993
July,Kings,62494,7247,770737,0.11596313246071623,2752,245174,79356993
June,Kings,59742,7103,525563,0.11889458002745137,3689,244362,76797090
March,Kings,13115,261,25819,0.019900876858558902,13115,25819,79356993
May,Kings,56053,6732,281201,0.12010061905696394,10534,165784,79356993
November,Kings,81371,7450,2044220,0.09155595973995649,5133,256814,35838642
October,Kings,76238,7400,1787406,0.09706445604554159,7176,441015,79356993
September,Kings,69062,7329,1346391,0.10612203527265356,3944,294289,76797090
April,Lewis,9,4,318,0.4444444444444444,7,251,788880
August,Lewis,49,5,8331,0.10204081632653061,15,1913,815176
July,Lewis,34,5,6418,0.14705882352941177,4,2052,815176
June,Lewis,30,5,4366,0.16666666666666666,10,2199,788880
March,Lewis,2,0,67,0,2,67,815176
May,Lewis,20,5,2167,0.25,11,1849,815176
November,Lewis,237,5,16037,0.02109704641350211,89,1724,368144
October,Lewis,148,5,14313,0.033783783783783786,98,3992,815176
September,Lewis,50,5,10321,0.1,1,1990,788880
April,Livingston,73,1,1068,0.0136986301369863,59,921,1887420
August,Livingston,183,6,20525,0.03278688524590164,17,6008,1950334
July,Livingston,166,4,14517,0.024096385542168676,36,5660,1950334
June,Livingston,130,4,8857,0.03076923076923077,11,5034,1887420
March,Livingston,14,1,147,0.07142857142857142,14,147,1950334
May,Livingston,119,3,3823,0.025210084033613446,46,2755,1950334
November,Livingston,488,7,44171,0.014344262295081968,138,7161,880796
October,Livingston,350,6,37010,0.017142857142857144,142,9765,1950334
September,Livingston,208,6,27245,0.028846153846153848,25,6720,1887420
April,Madison,139,5,1266,0.03597122302158273,88,957,2128230
August,Madison,461,9,27366,0.019522776572668113,62,10587,2199171
July,Madison,399,9,16779,0.022556390977443608,42,6207,2199171
June,Madison,357,9,10572,0.025210084033613446,41,5831,2128230
March,Madison,51,2,309,0.0392156862745098,51,309,2199171
May,Madison,316,8,4741,0.02531645569620253,177,3475,2199171
November,Madison,718,9,55642,0.012534818941504178,125,6909,993174
October,Madison,593,9,48733,0.01517706576728499,95,11367,2199171
September,Madison,498,9,37366,0.018072289156626505,37,10000,2128230
April,Monroe,1478,84,14594,0.056833558863328824,1129,10995,22253100
August,Monroe,5462,257,325026,0.0470523617722446,720,103292,22994870
July,Monroe,4742,250,221734,0.052720371151412905,962,88685,22994870
June,Monroe,3780,244,133049,0.06455026455026455,816,77601,22253100
March,Monroe,349,9,3599,0.025787965616045846,349,3599,22994870
May,Monroe,2964,198,55448,0.06680161943319839,1486,40854,22994870
November,Monroe,10453,267,608222,0.025542906342676742,2748,67060,10384780
October,Monroe,7705,261,541162,0.033874107722258275,1584,121204,22994870
September,Monroe,6121,260,419958,0.04247671949027937,659,94932,22253100
April,Montgomery,54,4,727,0.07407407407407407,47,580,1476630
August,Montgomery,207,8,20953,0.03864734299516908,52,6312,1525851
July,Montgomery,155,4,14641,0.025806451612903226,37,5300,1525851
June,Montgomery,118,4,9341,0.03389830508474576,27,5912,1476630
March,Montgomery,7,0,147,0,7,147,1525851
May,Montgomery,91,4,3429,0.04395604395604396,37,2702,1525851
November,Montgomery,322,11,37118,0.034161490683229816,49,3005,689094
October,Montgomery,273,9,34113,0.03296703296703297,38,7374,1525851
September,Montgomery,235,9,26739,0.03829787234042553,28,5786,1476630
April,Nassau,36161,1700,97308,0.047011974226376485,26607,74908,40707720
August,Nassau,44761,2198,645317,0.04910524787203146,1490,179247,42064644
July,Nassau,43271,2194,466070,0.050703704559635784,1418,150444,42064644
June,Nassau,41853,2182,315626,0.05213485293766277,1374,134402,40707720
March,Nassau,9554,63,22400,0.006594096713418464,9554,22400,42064644
May,Nassau,40479,2118,181224,0.05232342696212851,4318,83916,42064644
November,Nassau,54014,2229,1231610,0.041267078905468955,3720,145504,18996936
October,Nassau,50294,2215,1086106,0.04404103869248817,3365,261703,42064644
September,Nassau,46929,2201,824403,0.046900637132689806,2168,179086,40707720
April,New York,22175,2132,68807,0.09614430665163472,14802,50210,48861180
August,New York,32165,3170,820885,0.09855432923985699,1647,261077,50489886
July,New York,30518,3146,559808,0.1030867029294187,2000,213080,50489886
June,New York,28518,3088,346728,0.10828248825303317,1797,170092,48861180
March,New York,7373,129,18597,0.017496270174962702,7373,18597,50489886
May,New York,26721,2912,176636,0.10897795741177352,4546,107829,50489886
November,New York,39975,3204,1702116,0.08015009380863039,3263,218768,22801884
October,New York,36712,3198,1483348,0.08711048158640226,3086,392373,50489886
