month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,NH_monthly_fatality_rate,county_monthly_occupancy,county_monthly_cases,county_monthly_prevalence,NH_occupancy_rate,staff_flu_vaccination_rate,total_supply_ppe_monthly,total_shortage_stuff_monthly,ventilator_dependent_unit_monthly,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
5,Albany,42,130,0.3230769230769231,1411,130,0.09213323883770376,0.7946724581727235,0.8045454545454546,1,1,1,678,14613,0.046397044,0.052603613
6,Albany,4,11,0.36363636363636365,1443,11,0.007623007623007623,0.8002926197856151,0.8045454545454546,1,1,1,230,23788,0.009668741,0.051136364
7,Albany,4,14,0.2857142857142857,1474,14,0.009497964721845319,0.8318851660253975,0.8045454545454546,1,1,1,403,27414,0.014700518,0.045725646
8,Albany,6,9,0.6666666666666666,1484,9,0.006064690026954178,0.8348380125782185,0.8045454545454546,1,1,1,271,32030,0.008460818,0.04379038
9,Albany,0,0,NA,1475,0,0,0.8380651248912144,0.8045454545454546,1,1,1,347,30415,0.011408844,0.039259496
10,Albany,0,5,0,1519,5,0.0032916392363396972,0.8504863317251561,0.8045454545454546,1,1,1,NA,NA,NA,NA
5,Allegany,NA,NA,NA,NA,NA,NA,0.91875,0.7125,1,0,0,13,1372,0.009475219,0.041666667
6,Allegany,NA,NA,NA,326,NA,NA,0.905746487119438,0.7125,1,1,0,13,4083,0.003183933,0.032786885
7,Allegany,0,0,NA,327,0,0,0.889344262295082,0.7125,1,1,0,13,3246,0.004004929,0.027027027
8,Allegany,0,0,NA,330,0,0,0.9028340163934426,0.7125,1,1,0,15,4503,0.003331113,0.02247191
9,Allegany,0,0,NA,328,0,0,0.9038584357923497,0.7125,1,1,0,30,4536,0.006613757,0.033613445
10,Allegany,8,52,0.15384615384615385,302,52,0.17218543046357615,0.8725554986338798,0.7125,1,1,0,NA,NA,NA,NA
5,Bronx,NA,NA,NA,NA,NA,NA,0.8330698580415637,0.7395555555555555,1,1,1,7574,99691,0.075974762,0.098503053
6,Bronx,NA,NA,NA,9266,NA,NA,0.8436693562990409,0.7395555555555555,1,1,1,2292,137268,0.016697264,0.099871986
7,Bronx,4,29,0.13793103448275862,9248,29,0.0031358131487889272,0.8129795294469176,0.7395555555555555,1,1,1,1975,139839,0.014123385,0.09779148
8,Bronx,4,15,0.26666666666666666,9057,15,0.0016561775422325273,0.8145291890436784,0.7395555555555555,1,1,1,2037,171837,0.011854257,0.095019647
9,Bronx,3,10,0.3,9345,10,0.001070090957731407,0.8269744661650381,0.7395555555555555,1,1,1,1506,170630,0.008826115,0.093136978
10,Bronx,0,9,0,9386,9,9.588749200937567e-4,0.8286575918818058,0.7395555555555555,1,1,1,NA,NA,NA,NA
5,Broome,NA,NA,NA,NA,NA,NA,0.855472311916984,0.8045454545454546,1,1,1,275,13809,0.019914548,0.081881533
6,Broome,9,38,0.23684210526315788,1338,38,0.028400597907324365,0.8635718963311688,0.8045454545454546,1,1,1,148,21307,0.006946074,0.08033241
7,Broome,8,51,0.1568627450980392,1345,51,0.0379182156133829,0.8629235693342399,0.8045454545454546,1,1,1,326,22333,0.014597233,0.06870229
8,Broome,12,25,0.48,1357,25,0.018422991893883568,0.8672631219690569,0.8045454545454546,1,1,1,263,28916,0.009095311,0.062547674
9,Broome,1,0,Inf,1340,0,0,0.8610140453819851,0.8045454545454546,1,1,1,418,29146,0.014341591,0.049161365
10,Broome,2,98,0.02040816326530612,1298,98,0.07550077041602465,0.8125287424164839,0.8045454545454546,1,1,1,NA,NA,NA,NA
5,Cattaraugus,0,0,NA,448,0,0,0.8340046024285155,0.856,1,0,0,40,3893,0.010274852,0.033707865
6,Cattaraugus,0,1,0,452,1,0.0022123893805309734,0.8380970916568743,0.856,1,1,0,34,7820,0.004347826,0.048780488
7,Cattaraugus,0,0,NA,444,0,0,0.823502374657266,0.856,1,1,0,35,7034,0.004975832,0.037974684
8,Cattaraugus,0,1,0,449,1,0.0022271714922048997,0.849102330591461,0.856,1,1,0,48,8056,0.005958292,0.029126214
9,Cattaraugus,0,1,0,440,1,0.0022727272727272726,0.8256464208773991,0.856,1,1,0,73,7938,0.009196271,0.028673835
10,Cattaraugus,1,20,0.05,432,20,0.046296296296296294,0.7631215726596161,0.856,1,1,0,NA,NA,NA,NA
5,Cayuga,NA,NA,NA,NA,NA,NA,0.8656702898550724,0.6950000000000001,1,1,0,41,3859,0.010624514,0.02173913
6,Cayuga,0,0,NA,466,0,0,0.8754772853957636,0.6950000000000001,1,1,0,27,7433,0.00363245,0.016806723
7,Cayuga,0,1,0,461,1,0.0021691973969631237,0.8619495540691193,0.6950000000000001,1,1,0,25,7746,0.003227472,0.013888889
8,Cayuga,0,0,NA,462,0,0,0.8765203455964325,0.6950000000000001,1,1,0,36,8098,0.004445542,0.011111111
9,Cayuga,0,0,NA,463,0,0,0.8770772366220736,0.6950000000000001,1,1,0,41,10026,0.004089368,0.009049774
10,Cayuga,0,2,0,457,2,0.00437636761487965,0.8838358765328874,0.6950000000000001,1,1,0,NA,NA,NA,NA
5,Chautauqua,0,0,NA,825,0,0,0.8911800060568206,0.9114285714285714,1,1,0,50,4394,0.011379153,0.023529412
6,Chautauqua,0,1,0,846,1,0.001182033096926714,0.9033492906333328,0.9114285714285714,1,1,0,42,13226,0.003175563,0.023622047
7,Chautauqua,0,0,NA,821,0,0,0.894561071535361,0.9114285714285714,1,1,0,104,12322,0.008440188,0.017316017
8,Chautauqua,0,0,NA,830,0,0,0.8941425050952755,0.9114285714285714,1,1,0,174,13816,0.012594094,0.009876543
9,Chautauqua,0,0,NA,814,0,0,0.887344520053833,0.9114285714285714,1,1,0,197,14354,0.013724397,0.006644518
10,Chautauqua,0,3,0,808,3,0.0037128712871287127,0.8848314591938083,0.9114285714285714,1,1,0,NA,NA,NA,NA
5,Chemung,NA,NA,NA,NA,NA,NA,0.9069631951141113,0.6525,1,1,0,14,4976,0.002813505,0.01459854
6,Chemung,NA,NA,NA,NA,NA,NA,0.8887009803921568,0.6525,1,1,0,7,8211,8.52515e-4,0.013888889
7,Chemung,NA,NA,NA,NA,NA,NA,0.8084759723561555,0.6525,1,1,0,19,9276,0.002048297,0.012269939
8,Chemung,NA,NA,NA,NA,NA,NA,0.8261423979427837,0.6525,1,1,0,42,9364,0.004485263,0.009756098
9,Chemung,NA,NA,NA,NA,NA,NA,0.8607662327225972,0.6525,1,1,0,355,12556,0.028273335,0.008928571
10,Chemung,NA,NA,NA,NA,NA,NA,0.8849545965927355,0.6525,1,1,0,NA,NA,NA,NA
5,Chenango,NA,NA,NA,423,NA,NA,0.7763063002530851,0.928,1,1,0,34,3657,0.009297238,0.037593985
6,Chenango,0,0,NA,401,0,0,0.761934841765773,0.928,1,1,0,13,6559,0.001982009,0.04109589
7,Chenango,0,1,0,398,1,0.002512562814070352,0.7496994053618222,0.928,1,1,0,63,5643,0.011164274,0.028708134
8,Chenango,0,0,NA,396,0,0,0.7512808909494053,0.928,1,1,0,20,6520,0.003067485,0.026200873
9,Chenango,0,0,NA,396,0,0,0.7467102146744607,0.928,1,1,0,24,6019,0.003987373,0.023715415
10,Chenango,0,1,0,402,1,0.0024875621890547263,0.7428089094940536,0.928,1,1,0,NA,NA,NA,NA
5,Clinton,0,0,NA,387,0,0,0.8435089128827744,0.9775,1,1,0,35,3371,0.010382676,0.041666667
6,Clinton,0,0,NA,392,0,0,0.8404748081234412,0.9775,1,1,0,5,7476,6.68807e-4,0.03960396
7,Clinton,0,1,0,385,1,0.0025974025974025974,0.8359750124357772,0.9775,1,1,0,26,7528,0.003453773,0.031496063
8,Clinton,0,0,NA,382,0,0,0.8179506558721049,0.9775,1,1,0,24,7374,0.003254679,0.033112583
9,Clinton,0,0,NA,382,0,0,0.8172664704241521,0.9775,1,1,0,11,8927,0.001232217,0.030864198
10,Clinton,0,0,NA,382,0,0,0.8199693718608299,0.9775,1,1,0,NA,NA,NA,NA
5,Columbia,NA,NA,NA,NA,NA,NA,0.7819444444444444,0.866,1,0,0,187,3051,0.06129138,0.100257069
6,Columbia,6,31,0.1935483870967742,401,31,0.0773067331670823,0.7133359593837535,0.866,1,1,0,77,6716,0.011465158,0.100858369
7,Columbia,0,1,0,431,1,0.002320185614849188,0.7407081582633053,0.866,1,1,0,53,6799,0.007795264,0.090558767
8,Columbia,0,1,0,451,1,0.0022172949002217295,0.7596848739495798,0.866,1,0,0,50,7441,0.006719527,0.082601054
9,Columbia,0,0,NA,451,0,0,0.7717787114845939,0.866,1,0,0,26,6705,0.003877703,0.078991597
10,Columbia,0,0,NA,450,0,0,0.7748818277310924,0.866,1,1,0,NA,NA,NA,NA
5,Cortland,0,0,NA,335,0,0,0.8462466124661246,0.9733333333333333,1,0,0,13,2908,0.0044704259999999996,0.024390244
6,Cortland,0,0,NA,339,0,0,0.8847275454897406,0.9733333333333333,1,0,0,6,4942,0.001214083,0.021276596
7,Cortland,0,1,0,338,1,0.0029585798816568047,0.8888492063492064,0.9733333333333333,1,0,0,44,5727,0.007682906,0.010989011
8,Cortland,0,3,0,326,3,0.009202453987730062,0.872095238095238,0.9733333333333333,1,0,0,10,5510,0.001814882,0.00990099
9,Cortland,0,0,NA,323,0,0,0.8722619047619048,0.9733333333333333,1,0,0,94,7807,0.012040476,0.005128205
10,Cortland,0,0,NA,315,0,0,0.8510912698412698,0.9733333333333333,1,0,0,NA,NA,NA,NA
5,Delaware,NA,NA,NA,NA,NA,NA,0.7529563932002956,0.5866666666666667,1,1,0,20,2342,0.00853971,0.024691358
6,Delaware,0,0,NA,308,0,0,0.8522111357477211,0.5866666666666667,1,1,0,10,4660,0.002145923,0.043956044
7,Delaware,0,0,NA,310,0,0,0.8599508807588075,0.5866666666666667,1,1,0,12,3765,0.003187251,0.038834951
8,Delaware,0,0,NA,315,0,0,0.8674618132544961,0.5866666666666667,1,1,0,12,4605,0.002605863,0.034782609
9,Delaware,0,0,NA,302,0,0,0.8505212182803646,0.5866666666666667,1,1,0,22,5286,0.004161937,0.03649635
10,Delaware,0,0,NA,307,0,0,0.8466448016752894,0.5866666666666667,1,1,0,NA,NA,NA,NA
5,Dutchess,NA,NA,NA,NA,NA,NA,0.8296087438484218,0.5607692307692308,1,1,1,922,17804,0.051786115,0.035423038
6,Dutchess,3,3,1,1603,3,0.0018714909544603868,0.8291432960532406,0.5607692307692308,1,1,1,289,27763,0.010409538,0.035841443
7,Dutchess,1,3,0.3333333333333333,1588,3,0.001889168765743073,0.823346758950201,0.5607692307692308,1,1,1,291,32537,0.008943664,0.033969805
8,Dutchess,0,2,0,1601,2,0.0012492192379762648,0.8188999285802908,0.5607692307692308,1,1,1,364,42510,0.008562691,0.031429745
9,Dutchess,0,2,0,1627,2,0.001229256299938537,0.8310039073468123,0.5607692307692308,1,1,1,280,36705,0.007628389,0.03030303
10,Dutchess,0,0,NA,1633,0,0,0.8381196275191501,0.5607692307692308,1,1,1,NA,NA,NA,NA
5,Erie,NA,NA,NA,NA,NA,NA,0.8120036723549192,0.7745714285714286,1,1,1,2642,47504,0.055616369,0.081169361
6,Erie,66,331,0.19939577039274925,4473,331,0.0739995528727923,0.8176085858196814,0.7745714285714286,1,1,1,1214,78201,0.015524098,0.077824724
7,Erie,10,58,0.1724137931034483,4481,58,0.012943539388529346,0.8041715919232751,0.7745714285714286,1,1,1,1211,84624,0.014310361,0.069489939
8,Erie,6,26,0.23076923076923078,4583,26,0.005673139864717434,0.8160502549823706,0.7745714285714286,1,1,1,1399,100096,0.013976582,0.060922891
9,Erie,12,29,0.41379310344827586,4600,29,0.006304347826086957,0.823920993593148,0.7745714285714286,1,1,1,1627,101943,0.015959899,0.054000346
10,Erie,12,118,0.1016949152542373,4558,118,0.025888547608600262,0.8168483684498542,0.7745714285714286,1,1,1,NA,NA,NA,NA
5,Essex,0,1,0,269,1,0.0037174721189591076,0.9203615520282187,0.9299999999999999,1,1,0,9,2628,0.003424658,0
6,Essex,0,0,NA,269,0,0,0.9169077013521458,0.9299999999999999,1,1,0,5,3270,0.001529052,0
7,Essex,0,0,NA,265,0,0,0.8965652557319224,0.9299999999999999,1,1,0,13,3159,0.004115226,0
8,Essex,2,39,0.05128205128205128,263,39,0.1482889733840304,0.9062433862433862,0.9299999999999999,1,1,0,76,4097,0.018550159,0.045801527
9,Essex,7,22,0.3181818181818182,246,22,0.08943089430894309,0.8616093474426808,0.9299999999999999,1,1,0,38,4210,0.009026128,0.082840237
10,Essex,1,0,Inf,246,0,0,0.8453306878306879,0.9299999999999999,1,1,0,NA,NA,NA,NA
5,Franklin,0,0,NA,170,0,0,0.8768518518518519,0.49,1,1,0,8,3067,0.002608412,0
6,Franklin,0,0,NA,171,0,0,0.8460648148148149,0.49,1,1,0,8,4291,0.001864367,0
7,Franklin,0,0,NA,166,0,0,0.8576388888888888,0.49,1,1,0,19,4545,0.004180418,0.02
8,Franklin,0,0,NA,176,0,0,0.8796296296296297,0.49,1,1,0,8,5257,0.00152178,0.017241379
9,Franklin,0,0,NA,178,0,0,0.9171296296296296,0.49,1,0,0,8,4860,0.001646091,0.015151515
10,Franklin,0,0,NA,180,0,0,0.9145833333333333,0.49,1,0,0,NA,NA,NA,NA
5,Fulton,17,94,0.18085106382978725,307,94,0.30618892508143325,0.8424765512265513,0.9433333333333334,1,1,0,135,2710,0.049815498,0.09047619
6,Fulton,10,31,0.3225806451612903,302,31,0.10264900662251655,1.0037666847041846,0.9433333333333334,1,1,0,47,5252,0.008948972,0.101167315
7,Fulton,1,25,0.04,304,25,0.08223684210526316,0.8298457792207793,0.9433333333333334,1,1,0,25,4637,0.005391417,0.09929078
8,Fulton,1,8,0.125,308,8,0.025974025974025976,0.8306038961038961,0.9433333333333334,1,1,0,29,5392,0.005378338,0.090032154
9,Fulton,0,0,NA,307,0,0,0.8298584054834055,0.9433333333333334,1,1,0,28,4502,0.006219458,0.08259587
10,Fulton,0,0,NA,312,0,0,0.8385380591630591,0.9433333333333334,1,1,0,NA,NA,NA,NA
5,Genesee,0,0,NA,438,0,0,0.9413702476958525,0.9475,1,1,0,48,2910,0.016494845,0.024752475
6,Genesee,0,1,0,449,1,0.0022271714922048997,0.9467871943804403,0.9475,1,1,0,36,5631,0.006393181,0.021008403
7,Genesee,0,0,NA,444,0,0,0.9171989007296467,0.9475,1,1,0,34,6084,0.005588429,0.022058824
8,Genesee,0,0,NA,445,0,0,0.9124174347158218,0.9475,1,0,0,25,7350,0.003401361,0.02020202
9,Genesee,0,2,0,448,2,0.004464285714285714,0.8915422587045571,0.9475,1,0,0,38,7120,0.005337079,0.017910448
10,Genesee,0,3,0,434,3,0.0069124423963133645,0.9031676027265745,0.9475,1,1,0,NA,NA,NA,NA
5,Greene,14,90,0.15555555555555556,207,90,0.43478260869565216,0.8077205882352941,0.975,1,0,0,100,1804,0.055432373,0.054393305
6,Greene,0,0,NA,217,0,0,0.8132352941176471,0.975,1,0,0,21,3492,0.006013746,0.05
7,Greene,0,1,0,232,1,0.004310344827586207,0.8746323529411765,0.975,1,1,0,29,4035,0.007187113,0.044982699
8,Greene,0,0,NA,234,0,0,0.9000980392156863,0.975,1,0,0,20,4388,0.004557885,0.042071197
9,Greene,0,0,NA,233,0,0,0.9205269607843137,0.975,1,0,0,19,4175,0.004550898,0.042682927
10,Greene,0,0,NA,224,0,0,0.8927083333333333,0.975,1,0,0,NA,NA,NA,NA
5,Herkimer,NA,NA,NA,477,NA,NA,0.9135736196319019,0.9475,1,1,0,49,3567,0.013737034,0.027522936
6,Herkimer,0,0,NA,467,0,0,0.9052346945296523,0.9475,1,1,0,53,8625,0.006144928,0.018518519
7,Herkimer,0,2,0,461,2,0.004338394793926247,0.8867946382924335,0.9475,1,1,0,78,7000,0.011142857,0.020833333
8,Herkimer,6,30,0.2,448,30,0.06696428571428571,0.8650696574642127,0.9475,1,1,0,58,8924,0.006499328,0.033557047
9,Herkimer,0,1,0,434,1,0.002304147465437788,0.8466313586400818,0.9475,1,1,0,42,8275,0.005075529,0.029411765
10,Herkimer,0,0,NA,453,0,0,0.8591177786298568,0.9475,1,0,0,NA,NA,NA,NA
5,Jefferson,0,0,NA,490,0,0,0.9261963118580766,0.9366666666666666,1,0,0,13,4803,0.002706642,0
6,Jefferson,0,0,NA,502,0,0,0.9260358309990663,0.9366666666666666,1,1,0,14,7335,0.001908657,0
7,Jefferson,0,1,0,503,1,0.0019880715705765406,0.9290538437597261,0.9366666666666666,1,1,0,42,7738,0.005427759,0
8,Jefferson,0,0,NA,509,0,0,0.9434290382819794,0.9366666666666666,1,1,0,20,7267,0.002752167,0.006666667
9,Jefferson,0,0,NA,507,0,0,0.9575114768129475,0.9366666666666666,1,1,0,22,7592,0.002897787,0.005813953
10,Jefferson,0,0,NA,507,0,0,0.9523838702147526,0.9366666666666666,1,1,0,NA,NA,NA,NA
5,Kings,418,851,0.491186839012926,7723,851,0.11019034054124045,0.7717977371700185,0.761,1,1,1,10534,165784,0.063540511,0.120100619
6,Kings,22,255,0.08627450980392157,7928,255,0.032164480322906155,0.8010832691759895,0.761,1,1,1,3689,244362,0.015096455,0.11889458
7,Kings,0,30,0,8019,30,0.0037411148522259632,0.7865898587192363,0.761,1,1,1,2752,245174,0.011224681,0.115963132
8,Kings,1,11,0.09090909090909091,8153,11,0.0013491966147430394,0.797931541567282,0.761,1,1,1,2624,281365,0.009325964,0.111950613
9,Kings,1,29,0.034482758620689655,8145,29,0.0035604665438919584,0.8034413454096058,0.761,1,1,1,3944,294289,0.013401792,0.106122035
10,Kings,1,58,0.017241379310344827,8167,58,0.0071017509489408595,0.8035675757360303,0.761,1,1,1,NA,NA,NA,NA
5,Lewis,0,0,NA,137,0,0,0.85625,0,1,1,0,11,1849,0.005949162,0.25
6,Lewis,0,0,NA,139,0,0,0.8609375,0,1,1,0,10,2199,0.004547522,0.166666667
7,Lewis,0,0,NA,140,0,0,0.875,0,1,0,0,4,2052,0.001949318,0.147058824
8,Lewis,0,0,NA,137,0,0,0.8625,0,1,0,0,15,1913,0.007841087,0.102040816
9,Lewis,0,1,0,138,1,0.007246376811594203,0.85625,0,1,0,0,1,1990,5.02513e-4,0.1
10,Lewis,0,0,NA,137,0,0,0.8484375,0,1,0,0,NA,NA,NA,NA
5,Livingston,2,4,0.5,302,4,0.013245033112582781,0.8388314536340852,0.92,1,1,0,46,2755,0.016696915,0.025210084
6,Livingston,0,0,NA,291,0,0,0.8171522556390978,0.92,1,1,0,11,5034,0.002185141,0.030769231
7,Livingston,0,1,0,283,1,0.0035335689045936395,0.7660766499582289,0.92,1,1,0,36,5660,0.006360424,0.024096386
8,Livingston,0,0,NA,282,0,0,0.7993295739348371,0.92,1,1,0,17,6008,0.002829561,0.032786885
9,Livingston,0,0,NA,276,0,0,0.7869726399331662,0.92,1,1,0,25,6720,0.003720238,0.028846154
10,Livingston,0,0,NA,275,0,0,0.7855419799498747,0.92,1,1,0,NA,NA,NA,NA
5,Madison,NA,NA,NA,NA,NA,NA,0.8104166666666667,0.9266666666666666,1,0,0,177,3475,0.050935252,0.025316456
6,Madison,0,0,NA,318,0,0,0.8501736111111111,0.9266666666666666,1,0,1,41,5831,0.007031384,0.025210084
7,Madison,0,0,NA,315,0,0,0.8868055555555555,0.9266666666666666,1,0,1,42,6207,0.006766554,0.022556391
8,Madison,0,1,0,327,1,0.0030581039755351682,0.8940277777777778,0.9266666666666666,1,1,1,62,10587,0.005856239,0.019522777
9,Madison,0,0,NA,316,0,0,0.8847222222222222,0.9266666666666666,1,0,1,37,10000,0.0037,0.018072289
10,Madison,0,0,NA,320,0,0,0.909375,0.9266666666666666,1,0,1,NA,NA,NA,NA
5,Monroe,NA,NA,NA,NA,NA,NA,0.8201535969083414,0.7381818181818182,1,1,1,1486,40854,0.036373427,0.066801619
6,Monroe,34,55,0.6181818181818182,NA,55,NA,0.7862301533925298,0.7381818181818182,1,1,1,816,77601,0.010515327999999999,0.064550265
7,Monroe,3,2,1.5,NA,2,NA,0.8032886709699134,0.7381818181818182,1,1,1,962,88685,0.010847381,0.052720371
8,Monroe,0,2,0,NA,2,NA,0.8180516131554849,0.7381818181818182,1,1,1,720,103292,0.00697053,0.047052362
9,Monroe,2,3,0.6666666666666666,NA,3,NA,0.8275423812329216,0.7381818181818182,1,1,1,659,94932,0.006941811,0.042476719
10,Monroe,0,7,0,4147,7,0.0016879672052085846,0.8167728947567798,0.7381818181818182,1,1,1,NA,NA,NA,NA
5,Montgomery,0,2,0,512,2,0.00390625,0.8733333333333333,0.94,1,0,0,37,2702,0.01369356,0.043956044
6,Montgomery,0,0,NA,518,0,0,0.8805952380952381,0.94,1,1,0,27,5912,0.004566982,0.033898305
7,Montgomery,0,2,0,517,2,0.0038684719535783366,0.8950446428571428,0.94,1,1,0,37,5300,0.006981132,0.025806452
8,Montgomery,4,17,0.23529411764705882,525,17,0.03238095238095238,0.8968928571428572,0.94,1,1,0,52,6312,0.008238276,0.038647343
9,Montgomery,2,1,2,521,1,0.0019193857965451055,0.8940922619047619,0.94,1,1,0,28,5786,0.004839267,0.038297872
10,Montgomery,0,0,NA,526,0,0,0.8989732142857143,0.94,1,1,0,NA,NA,NA,NA
5,Nassau,NA,NA,NA,NA,NA,NA,0.7231122342781245,0.8283783783783784,1,1,1,4318,83916,0.051456218,0.052323427
6,Nassau,NA,NA,NA,5334,NA,NA,0.7203849670791663,0.8283783783783784,1,1,1,1374,134402,0.010223062,0.052134853
7,Nassau,8,34,0.23529411764705882,5399,34,0.0062974624930542695,0.7289957168017133,0.8283783783783784,1,1,1,1418,150444,0.009425434,0.050703705
8,Nassau,0,16,0,5400,16,0.002962962962962963,0.7352614020812508,0.8283783783783784,1,1,1,1490,179247,0.008312552,0.049105248
9,Nassau,2,3,0.6666666666666666,5529,3,5.425935973955507e-4,0.7475404941060739,0.8283783783783784,1,1,1,2168,179086,0.012105916,0.046900637
10,Nassau,0,6,0,5566,6,0.0010779734099892202,0.7482312136303261,0.8283783783783784,1,1,1,NA,NA,NA,NA
5,New York,305,654,0.46636085626911317,4485,654,0.14581939799331103,0.7836197287290542,0.8452941176470589,1,1,1,4546,107829,0.042159345,0.108977957
6,New York,6,53,0.11320754716981132,4482,53,0.011825078090138332,0.7746503902824072,0.8452941176470589,1,1,1,1797,170092,0.010564871,0.108282488
7,New York,3,26,0.11538461538461539,4508,26,0.005767524401064774,0.7774235052639649,0.8452941176470589,1,1,1,2000,213080,0.009386146,0.103086703
